ID,Freewheel Industry Category
1,Agriculture Crop Production
2,Agriculture Livestock Production
3,Bakeries
4,Beef Cattle Ranching
6,Beverage Manufacture and Bottling
7,Biotechnology Sector
8,Breweries
9,Chemical Manufacturing - Agricultural
10,Coffee and Tea Manufacture
11,Commercial Fishing and Seafood Distribution
12,Dairy Products Manufacture
14,Farm Equipment Manufacture and Distribution
15,Fast Food and Quickservice Restaurants
16,Food Distributors
17,Food Service Contractors
18,Fruit and Vegetable Processing
19,Grocery Stores and Supermarkets
20,Meat Products Manufacture
21,Nurseries
22,Pest Control Services
23,Poultry Processing
24,Restaurants
25,Sugar Manufacturing
26,Timber Operations
27,Tobacco Manufacture
28,Veterinary Services
29,Wineries
30,Architects Offices
31,Building Material Supply
32,"Cement, Concrete and Construction Material"
33,Commercial Construction Contractors
34,Concrete and Masonry Contractors
35,Construction Machinery Manufacturing
36,"Drywall, Plaster, Acoustic & Insulation Contractors"
37,Electrical Contractors
38,Engineering Services
39,Erosion Control
40,Framing Contractors
41,Government Contractors
42,Highway and Street Construction
43,HVAC and Plumbing Contractors
44,Landscaping Services
45,Lumber Wholesalers
46,Manufactured Housing
47,Painting and Wall Covering Contractors
48,Real Estate Brokerage and Management
49,Real Estate Investment Trusts (REITs)
50,Residential Real Estate Construction
51,"Roofing, Siding, and Sheet Metal Contractors"
52,Security System Services
53,Site Preparation Contractors
54,Structural Metals Manufacture
55,Title Insurance Services
56,Wood Flooring Manufacture
57,Accounting Services
58,Banks and Credit Unions
59,Consulting Services
60,Consumer Finance
61,Credit Card Processing
62,Credit Collections and Services
63,Financial Planners and Investment Advisors
64,Hedge Fund Management
65,Insurance Agencies
66,Insurance Carriers
67,Investment Banking
68,Legal Services
69,Mortgage Banking
71,Securities Brokers
73,Venture Capital
74,Chiropractor Offices
75,Dentists Offices & Clinics
76,Drugstores
77,Health Fundraising Organizations
78,Healthcare
79,Home Healthcare Services
80,Hospitals
81,Kidney Dialysis Centers
82,Managed Healthcare
83,Medical & Imaging Laboratories
84,Medical Equipment Distributors
85,Medical Supplies and Devices
86,Nursing Homes and Assisted Living
87,Optometrists and Opticians
88,Outpatient Surgical Centers
89,Pharmaceutical Manufacture and Sale - prescription
90,Physician Offices
91,Rehabilitation Therapy Practices
92,Abrasives Manufacture
93,Aerospace Products and Parts Manufacture
94,Aircraft Parts Manufacture
95,Apparel Manufacture
96,Automobile Manufacture
97,Automobile Parts and Accessories Manufacture
98,Battery Manufacture
100,Boat Building
104,Chemical Manufacturing - Industrial
105,Chemicals
107,Commercial Printing
108,Computer Manufacture
111,Electronic Components & Semiconductor Manufacture
112,Electronic Gaming Products
113,Fabricated Metal Parts Manufacturing
115,Fitness Equipment
116,Floor Coverings
117,"Footwear Manufacture, Wholesale, and Retail"
119,Furniture Manufacturing
120,Glass and Fiber Optic Manufacturing
121,Gun Manufacturing
122,Handtool and Cutlery Manufacture
123,Household Appliance Manufacture
124,Industrial Machinery Manufacturing
125,Lighting Equipment Manufacture
126,Machine Shops
127,Machine Tool Manufacture
130,"Metal Coating, Engraving, & Heat Treating"
131,Metal Ore Mining
132,Metal Valve Manufacture
133,"Motor, Generator, Pump, and Compressor Mfg"
134,Motorcycle Manufacturing
135,Musical Instrument Manufacture
